,Image,Review Text
2453,['https://images-na.ssl-images-amazon.com/images/I/71zJMYMpDbL._SY88.jpg'],"I bought this item because it had good reviews and it was cost effective compared to the top name brands. So far I have only used this item in a practice setting, but it does exactly as it states. I have noticed if the product is left on for several hours it gets a little warm, but it doesn't seem to be any sort of issue

12V and 18V out allows for easy hookup into those oddball pedals (just make sure you don't plug your 9V pedal into one of those slots).

I would recommend this item to anybody compiling their first pedal board. I know you can just pop a 9V battery in most pedals and away you go, but...

Running the cost comparison of this power supply to 9V batteries makes it pretty obvious that this power supply is worth every penny. Plus you never have to worry about a dead battery in your loop ruining a gig."
364,['https://images-na.ssl-images-amazon.com/images/I/21QKLix+GCL._SY88.jpg'],"You really cant beat it for the price, however, I would not use it for really heavy lights. Its only rated for 50lbs anyway. If you have some LED fixtures, a couple lasers (attached picture).... then this is perfect. Heavy scanners, and other large format lights (even if only using one ~40 lbs) I would not use. It only feels secure enough for a couple smaller lights and a fogger. Just buy it!!! You could always use it in your entertainment center and or, mobile DJ rig for some sort of light application."
818,['https://images-na.ssl-images-amazon.com/images/I/716PE4iRuFL._SY88.jpg'],"I have never used AKG microphones before. I decided to take a chance on this from all the great reviews. They were right! I used this to record a Taylor 914CE, the sound was chrisp, great mid and just enough low to not overpower the sound. I totally recommend this for vocals and acoustic guitar recording!"
3705,"['https://images-na.ssl-images-amazon.com/images/I/51OuPPtNnWL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71mCH1uxgSL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71pMtSbThnL._SY88.jpg']","It's hard to give less than 5 stars because this light is just an amazing value. It packs a serious punch in terms of output and feels quite sturdy. It has a very thin profile and the housing is a thick rugged plastic. Mounting hardware feels smooth and easy to adjust. The display on the back is larger than other lights of this style which is nice when configuring DMX channels. I control mine via a software DMX system, so I can't speak for the built-in modes. It has worked flawlessly in a DMX environment.

I was curious how this light would perform vs. the more expensive 4-in-1 style, and to my surprise the color-mixing is very smooth and has very litle 'rainbow' effect when used as a wash/uplight. I recently played a gig at a winery and used this light for back-lighting the stage. This light is on the rear-left in the attached pictures, with the GBGS 8Wx9 on the right.

Potential cons: Hard-wired power cord, somewhat loud fan ( not noticeable in a live music context )"
1890,['https://images-na.ssl-images-amazon.com/images/I/71k-Zu-q8fL._SY88.jpg'],"I really love the fretwraps, they're really usefull, specially when you need to record something and want a really clean sound, or when you are a bass player that loves the slapping technique. After i got my first set, i liked it so much that i ended up buying it in different colors!"
1572,"['https://images-na.ssl-images-amazon.com/images/I/71Xkg9cSpKL._SY88.png', 'https://images-na.ssl-images-amazon.com/images/I/71yqtJMEX5L._SY88.png']","I wanted to customize my fake plastic rock band guitar&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/The-Beatles-Rock-Band-X360-Wireless-Rickenbacker-325-Guitar-Controller/dp/B0028N13GC/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">The Beatles: Rock Band X360 Wireless Rickenbacker 325 Guitar Controller</a>&nbsp;with inexpensive tuning pegs. These fit the bill and I'm happy with the end result.
Pictures of finished project uploaded in uploaded customer images.
However, if I needed tuning pegs on my real guitar, I would surely go with a better choice. Pay a little more for better quality."
649,['https://images-na.ssl-images-amazon.com/images/I/714cPWTdHnL._SY88.jpg'],"These went on my new Strat a day after my white Strat came home. The only reason is for you! Changing strings in no time. Do they do anything else, nope."
3023,"['https://images-na.ssl-images-amazon.com/images/I/71I1vaR18cL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71OAynTNCmL._SY88.jpg']",Perfect Fit!! Color match is very close.  Great product!! Added pickguard to a Les Paul Studio Deluxe..
527,['https://images-na.ssl-images-amazon.com/images/I/81SpERYsfcL._SY88.jpg'],Very stable and sturdy.... Well worth the $$ to protect your expensive gear
1039,"['https://images-na.ssl-images-amazon.com/images/I/51EeEv1rFNL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51j9QVqzcNL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61FGfBhDxEL._SY88.jpg']","I've been playing for 9 years and was worried this won't be on par with the mid-end guitar I've been using. The guitar both looks and feels great. The finish is very well done. It's got a warm and full sound to it that I really enjoyed, that at times I found myself reluctant to stop playing. And I was really pleased with how smooth the fretting was, it felt like it took less effort to move between the frets and press down than on several guitars I've played on previously.

The only gripe I have is that the fret position markers (dots) are really dark and hard to spot (see pictures). But that's not a deal breaker by any means, since when playing you would normally look at the markers on the side of the neck, which were pretty clear. Still, aesthetically the dark markers don't look as nice.

But overall I was quite impressed, especially for such a great price. You know a guitar is good when it encourages you to play more often again, and makes it hard to stop and put it down."
2543,"['https://images-na.ssl-images-amazon.com/images/I/61TEnw+Pg7L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71ijOM3VkkL._SY88.jpg']","Gamechanger mixer. One of the few things that has been made in this century that is decent. I use it in a studio rack that replaced a Mackie 1202VLZ, a Yamaha REV500 DSP and a Behringer 31 band DEQ2496. Was a little reluctant to replace all these devices, but over time I gave in as I learned/experimented more with this mixer. I control it with an IPAD Air 2- prefer it over Android as I can place the RTA, the EQ and the channel strip all on the same screen without having to toggle. My only small gripe is that updates and development of the IOS XAir app have not been much of a priority (2 years between 1.42 and 1.5?) . It can be a little overwhelming- after 6 months, I'm still learning more about it and that's a good thing- they'res stuff I can do with this mixer that I could not do with any analogue mixer I've had/used. Love the idea that I can take the IPAD and roam."
1191,['https://images-na.ssl-images-amazon.com/images/I/51K80K2y51L._SY88.jpg'],"Great product and price. I bought these panels for a home studio, mostly for mixing a tracking as I don't do much live recording there. There is definitely a difference and the early reflections from the monitors are lessened (to my ears anyway). They did the job I needed and they look good too! I opted to pin them to the wall with t-pins instead of using adhesive. For my use it works well and I can remove them with little or no damage to the wall. I ordered a second box to put in a pattern on the one remain wall that could use some treatment.

If you are looking for acoustic foam absorption panels, take a look at these."
590,['https://images-na.ssl-images-amazon.com/images/I/61jFeizn-KL._SY88.jpg'],"It's really flexible on how you're planning to put on top of it. The only small con is the top surface, you might wanna get a cheap Ikea board for it so you can throw anything. I put my guitar amp head (around 40lbs I think), and two monitor speakers without a problem. Love it!"
2357,['https://images-na.ssl-images-amazon.com/images/I/61rSlbzNN8L._SY88.jpg'],Works nicely on my guitar thanks.
668,['https://images-na.ssl-images-amazon.com/images/I/618I1bEQ7OL._SY88.jpg'],"I had read another review in here from someone using this with the MXL V67G after popping out the existing mounting ring with a flat blade screwdriver, so I took a chance and ordered one for myself.  That guy was 100% correct! I just popped out the existing mounting ring with a flat blade and my V67G slipped right in and could be tighly secured using the black mounting ring supplied with the V67G.

I had read a lot of negative reviews about the MXL shockmount for this microphone so I didn't want that one.  This shockmount bears a striking resemblance to the MXL 890 shockmount that came standard with my 890 vocal mic and with the same quality of construction.  The price is definitely more than fair for what you get here!

So... If you have an MXL V67G order with confidence!  I would say that this would be a much better choice than the MXL alternative.

I was also blown away how fast Amazon got this thing to me!  I ordered it last night and it showed up on my front porch this afternoon!"
1648,['https://images-na.ssl-images-amazon.com/images/I/81aA5CM2rUL._SY88.jpg'],Works & sounds beautifully. Would recommend this to anybody!
469,"['https://images-na.ssl-images-amazon.com/images/I/816L2xBUnKL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71tbV521USL._SY88.jpg']","Thus should be a 5 star review, but sadly, it's only a 3. I bought a cymbal off of eBay that was a mess. I got it for next to nothing and figured I would clean it up. Cleaner sure worked well and then THANKFULLY I read to not use on the Letters. Holy cow I was this close to cleaning up those areas when thankfully someone called me and I read the entire bottle to the very end.

So the finished product is what you see. A far better cleaned up cymbal but still looks like a wreck around the Letters. Oh well. Light years better than the eBay mess I bought. But I sorely wish I could clean around the lettering with no fear of losing the lettering. You would think Zildjian would be able to make a cleaning product that works well around the Letters, no?"
2331,"['https://images-na.ssl-images-amazon.com/images/I/71LMmCfZIWL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61O5LRSKtTL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71wH0-ksYJL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71wKl7KERSL._SY88.jpg']",This light is awesome!!! Very bright with 54 one watt diodes. Throws a nice medium wash they are great. The only down side I have with them is a power cable being attached to the fixture instead of an iec cable. It has dmx in and out. The housing is a very tough plastic and also includes the hanging bracket. The par is a flat par which is great for up lighting. I think this is a great fixture so I give it a 5 stars
464,"['https://images-na.ssl-images-amazon.com/images/I/71-9MV+Oi-L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71mrrfpbvQL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71evhsJNOCL._SY88.jpg']","these capos are easy to use, high quality materials, flawless mecanism, adjustable pressure, an investment for a life. Just be know that there are two versions:
 Perfomance 1 (discontinued) : Extremely nice pressure and good looking, a little bulky, but non intrussive, the best choice for long scale guitar (25.4"").
Performance 2 (new version) : light and narrow, easy to handle with one hand, the only con is that It lacks a little in pressure (compared to P1). i will use It in a short scale (24.9"") guitar.
pd: i have only try It on my acoustic 25.4 scale Martin 1 3/4 "" neck. i own both and i love the Performance 1 better. Look at the pics to see the differences between both."
61,"['https://images-na.ssl-images-amazon.com/images/I/617apMTIJpL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71UhMtjWnRL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61BWRlcey2L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61cej6M43zL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61kkXi3uGZL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61o-GTDOiKL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61rbOA08MeL._SY88.jpg']","I bought It to storage my Epiphone Les Paul Standard, It fits perfect, the inside is soft, this case provides a great protection, It's a little heavy, but I think this is the best choice for a epi LP."
2724,"['https://images-na.ssl-images-amazon.com/images/I/71WSZetbG2L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61kmkQIM3AL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/715Fx0s30AL._SY88.jpg']","This USB guitar/instrument cable lets you connect an electrical musical instrument to a PC directly through the USB port. This takes a few minutes to auto-install the drivers when you plug it in. Once installed it worked smoothly. It seems to be solidly constructed and it fits fine on both the USB plug and the guitar. Take note that it was listed on my computer as a headphone device rather than an instrument cable, so don't get confused by how it is listed in the USB devices. I would say this is worth trying if you want a USB musical instrument cable. I received a discounted sample for my honest, unbiased review."
1686,"['https://images-na.ssl-images-amazon.com/images/I/71iRZ0fpafL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71r4I6+bD0L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/715tPKYc2cL._SY88.jpg']",I was surprised when I discovered this mic delivers XLR quality recording. I originally bought it for recording sessions during travel but it stacks up well against a 2x as expensive Rhode XLR mic! I would definitely recommend this mic to anyone looking for a good USB mic.
1968,['https://images-na.ssl-images-amazon.com/images/I/71YcJhwqYGL._SY88.jpg'],"I took me some time to get set right, now I really like it."
526,"['https://images-na.ssl-images-amazon.com/images/I/71c+eoJZWyL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71GQQKx3LWL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71ZLbWCVGqL._SY88.jpg']","I loved this guitar stand at first b/c it held my Guild & Martin acoustics securely. After about a year of stationary use, the plastic housing which was responsible for holding up the neck support cracked and cannot be repaired (see pics). Since I'm past any warranty period, I'm stuck.

Additionally, all of the rubber developed a gummy residue which was sticky to the touch. I often had to go try to wash it off after touching it, even accidentally. I had a Hercules mic stand which developed a similar problem before it also broke.

Gave it a 2-star review because I got a year of use out of it, but I probably won't buy another Hercules product."
1211,['https://images-na.ssl-images-amazon.com/images/I/51yeCn7T0GL._SY88.jpg'],"This pair of Samson GT Studio Monitors was a great start for me, they aren't your loudest speakers, but they still pack a punch. They can still be mixed on, and give a good all around frequency response. What you want to be careful of is the bass, and mixing bass on these because they will not provide all of the bass that is really there. They are great for mids. The portability is amazing! Along with the fact that you will NOT need an audio interface with these! The Mic plugs directly into the speaker! What a easy and accessible way for an artist to record his vocals, or for a guitarist to to record his notes. Definitely a good investment!"
3370,['https://images-na.ssl-images-amazon.com/images/I/81a6ovaEOPL._SY88.jpg'],Awesome stand. Best one I've ever had. It's not that heavy easy to carry in maneuver. The push adjustment for the up-and-down is great quick and easy holds really good. Feels like it's going to last a long time without being overly heavy. I really have no complaints thing works great. I did put a counterweight cuz my tube recording mic is kind of heavy.. wish I could buy 20 for 50 bucks. Wish they had a deal for multiple...
1713,['https://images-na.ssl-images-amazon.com/images/I/61ncUPsgBjL._SY88.jpg'],"Bought two of these at the same time and one arrived broken in two spots. The adjustment screw was missing on the base (see photo) and the one for the top part was stripped out.  Both screws are made of plastic with some kind of cheap pot metal fittings that likely don't take much force to break.

It's a 20 mile drive to the nearest UPS store to return these or I have to pay for pickup.  It wasn't worth it for something that costs $15 so I drilled a small hole and tapped a small screw into it.  If I had an easier option to return it, I would and get something else.  The one that wasn't broke on arrival works well but I'm not holding my breath it will last long or survive falling over more than once."
584,"['https://images-na.ssl-images-amazon.com/images/I/51YE+56HTDL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51uNNdbxKwL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51bslurOI4L._SY88.jpg']","I have a 1950s Fender tweed amp, so I wanted to get this strap to match it. It is a perfect match! The leather on the ends is a bit lighter than in the product picture, but it's fine. I love that the stripe is Fender tweed, which any musician should recognize. It's not garish -- it's a subtle statement. The feel of the fabric is nice, and it isn't too stiff like some straps are. All in all, it was a good purchase."
3609,"['https://images-na.ssl-images-amazon.com/images/I/81nHvT1Ji7L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71dnrwKSbdL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81r1y4s+9aL._SY88.jpg']","a little higher up than I thought it would be, but nice that I got my pedal board running a little under my amp, now i don't kick my amp when i go to switch effects.  Wish there was more adjustability but it is what it is, one of the more affordable stands can't be asking too much.  The back power plug socket on my amp (Bugera v5) barely interferes with the back bar of the stand (bottom of the plug hitting top of the bar) but I got the weight of the amp slightly resting on it and I don't think it's severe enough that it's a danger.  Stand won't be moved around much so  I expect it to last for a long long time."
529,['https://images-na.ssl-images-amazon.com/images/I/71L3AbZibgL._SY88.jpg'],"These strings were reccomended to me by an acquaintance of mine during a bass clinic I attended recently.  I ordered them right away.. All i can say is WOW! Excellent tone. It really brightened up my sound. I had gotten used to muddy sounding strings.  I haven't noticed a sticky feeling like others have mentioned, mine are silky smooth. Great playability. Wasn't too concerned about color, But When I installed them on my Ferrari red Carvin LB 70, I fell in love with my bass all over again.  It looks stunning, and I get many comments about my bass now..Others have mentioned that the color wears off quickly, but I don't care, I'll used the color wear as a guage of when to change them..Then neon ones even glow brightly under a black light.  Bass players don't get much credit so why not give them a show and something to talk about."
3255,['https://images-na.ssl-images-amazon.com/images/I/715kc4WaNxL._SY88.jpg'],"I have 3 of these now and I like that I can fit any type of guitar on there at the same time, even if they have straps on them. I have other stands that are spaced closer together and even a tremolo bar can get in the way. For those who have complained about no instructions being included, there are two bolts and 4 wheels. If you can't figure that out then maybe putting stuff together isn't your thing.

I like that the supports are rubber and not foam. I do have one of the 3 that has a weak bottom brace and makes the guitar tilt a bit. Only noticeable if you are that kind of person."
288,['https://images-na.ssl-images-amazon.com/images/I/41w+DP5wxZL._SY88.jpg'],"My husband got Guitar Hero for Christmas and on a whim added one of these hangers to his wish list.  One of our friends got it for us, almost as a joke-- but then we mounted it and realized how handy it was!  It works wonderfully for our little plastic guitar, saves it from getting scratched up in the closet, and looks pretty darn cool.  Highly recommended!"
262,['https://images-na.ssl-images-amazon.com/images/I/61wihisdS5L._SY88.jpg'],"I purchased two of these to hang guitars in my music room. These are well made and certainly do the job okay. However, I completely did NOT trust the two skimpy screws they provided to hang this unit. They are basically drywall screws, but these have a rather skinny diameter. I was not about to trust my vintage P-Bass to a skinny screw inside a hollow-wall fastener. No, I used a heavier ""construction screw"" directly into a wall stud. See photo. I was seriously concerned that the supplied skinny screw would actually break off in the stud. If you are hanging a lightweight acoustic, then the supplied hardware should be fine. I'm probably just being paranoid and overly cautious.  Other than that, I like it (tho walnut piece could be a little bigger in my opinion)."
3056,['https://images-na.ssl-images-amazon.com/images/I/71FBikeEnzL._SY88.jpg'],Thickest and most durable beater patch on the market. Buy this even if you don't use Aquarian heads. It'll prolong the life of any head!
1953,['https://images-na.ssl-images-amazon.com/images/I/716Vac-DGcL._SY88.jpg'],It's inexpensive. It's comfortable. It is not leather.
1347,"['https://images-na.ssl-images-amazon.com/images/I/61TWpg1ZMxL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61J4GxUC2+L._SY88.jpg']","I installed a set of these on my Epiphone G400 Pro. They offer better prevention of guitar straps slipping off than the stock strap buttons provide. These pins also have a lower profile than the stock pins. They are a single piece pin, versus strap lock that have two pieces that lock together. Installation was very easy and the provided hardware fit with no issues. These strap pins give me piece of mind and they look awesome too!"
2894,"['https://images-na.ssl-images-amazon.com/images/I/81uE5b-YDbL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81kc7eEmQ3L._SY88.jpg']","Just got my pedal board yesterday!  I love it.  Before I had my pedals strewn all over the floor.  Now they're organized and easier to use.  The board is larger than I expected b/c I didn't pay attention to the measurements in the description.  But I'm glad I chose this one.  It gives me an excuse to purchase more pedals.  Obviously the stock photo shows many pedals placed really close together which is not realistic considering the cables that are involved.  I'm attaching photos of my board for better reference.  Eventually, as I add more pedals I will place the power supply under the board, but for now I like the blue illumination of the AGP power supply.

I definitely recommend this board as it is very sturdy and comes with everything you need to set it up.  I had a blast configuring my simple set up!  Rock on fellow musicians!"
66,['https://images-na.ssl-images-amazon.com/images/I/61CvGBW4bmL._SY88.jpg'],"This added the je ne sais quoi to my PA sound.

Helps with vocals a lot - and smooths out the guitars through FOH.

I have used BBE for many years and wouldn't play out without one."
2380,"['https://images-na.ssl-images-amazon.com/images/I/81JkbrFUeML._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71m85PinPOL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71bkVaLv2lL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71-M0IbAeTL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/7114ZYjUtmL._SY88.jpg']","I love this thing, I've used it for so many events now.

Easy to plug into a locations system equal everything out and get your own sound and mix"
1538,['https://images-na.ssl-images-amazon.com/images/I/61HuokjZZaL._SY88.jpg'],"Not much to say here - they're knobs. They look good, are well made and fit perfectly on the CTS pots in my guitar."
140,['https://images-na.ssl-images-amazon.com/images/I/61PJGcJfl7L._SY88.jpg'],"I actually picked up this bass at my local guitar center used, for $60! I brought it home, wiped it down with some dunlop guitar polish, cleaned and treated the fretboard with lemon oil, and put on a D'Addario Light set of strings. I have $75 invested, and it plays amazing! I've played it through numerous cabs, and record with it. Very happy. Check through the used section at GC first if you don't mind a quick cleaning and restring to save you $125!"
1108,['https://images-na.ssl-images-amazon.com/images/I/61fS9QY4IHL._SY88.jpg'],Really tough sound. Made out of plastic but it's both overdrive and distortion and everything in between.
3828,"['https://images-na.ssl-images-amazon.com/images/I/71vT2-nW7-L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71Wz9iild8L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71Z5NiWe6TL._SY88.jpg']","The picture doesn't do this bridge justice, I was skeptical of the quality when I ordered this Tremolo bridge but was pleasantly surprised when it arrived. I wasn't so concerned with the quality because I planed on using it on an old broken down imported Kramer ST300 that I refinished. I gave it a 3 because of the screws it takes a lot of hand strength to get the screws seated. You have to be very careful that you don't strip the philip screw heads the screw driver doesn't quit fit the number 2. I'll take the guitar to my shared work shop to see if a larger screw driver fits better."
3689,['https://images-na.ssl-images-amazon.com/images/I/71ivOJbnr5L._SY88.jpg'],Worked great to level the frets on my 45 yr old Epiphone FT-150 acoustic guitar!
